b_abs,cnt
-23.9374400362372403375,NaN
-23.8293183997273450125,NaN
-23.7211967632174496875,NaN
-23.6130751267075543625,NaN
-23.5049534901976590375,1
-23.3968318536877637125,2
-23.2887102171778683875,2
-23.1805885806679730625,1
-23.0724669441580777375,1
-22.9643453076481824125,1
-22.8562236711382870875,4
-22.7481020346283917625,1
-22.6399803981184964375,2
-22.5318587616086011125,2
-22.4237371250987057875,5
-22.3156154885888104625,6
-22.2074938520789151375,11
-22.0993722155690198125,21
-21.9912505790591244875,31
-21.8831289425492291625,47
-21.7750073060393338375,56
-21.6668856695294385125,87
-21.5587640330195431875,110
-21.4506423965096478625,124
-21.3425207599997525375,162
-21.2343991234898572125,235
-21.1262774869799618875,353
-21.0181558504700665625,518
-20.9100342139601712375,707
-20.8019125774502759125,939
-20.6937909409403805875,1336
-20.5856693044304852625,1660
-20.4775476679205899375,2192
-20.3694260314106946125,3076
-20.2613043949007992875,4525
-20.1531827583909039625,5647
-20.0450611218810086375,5909
-19.9369394853711133125,5862
-19.8288178488612179875,5934
-19.7206962123513226625,5621
-19.6125745758414273375,5105
-19.5044529393315320125,4756
-19.3963313028216366875,4522
-19.2882096663117413625,4079
-19.1800880298018460375,3584
-19.0719663932919507125,3083
-18.9638447567820553875,2616
-18.8557231202721600625,2216
-18.7476014837622647375,1623
-18.6394798472523694125,1344
-18.5313582107424740875,1059
-18.4232365742325787625,839
-18.3151149377226834375,565
-18.2069933012127881125,390
-18.0988716647028927875,334
-17.9907500281929974625,211
-17.8826283916831021375,195
-17.7745067551732068125,170
-17.6663851186633114875,117
-17.5582634821534161625,116
-17.4501418456435208375,75
-17.3420202091336255125,86
-17.2338985726237301875,62
-17.1257769361138348625,67
-17.0176552996039395375,67
-16.9095336630940442125,46
-16.8014120265841488875,36
-16.6932903900742535625,29
-16.5851687535643582375,27
-16.4770471170544629125,30
-16.3689254805445675875,33
-16.2608038440346722625,21
-16.1526822075247769375,15
-16.0445605710148816125,12
-15.9364389345049862875,15
-15.8283172979950909625,13
-15.7201956614851956375,12
-15.6120740249753003125,8
-15.5039523884654049875,9
-15.3958307519555096625,5
